arm,design,n_main,n_cut_lead,n_cut_tail,cuttable,internal_run,cav_before,cav_after,env_before,env_after,rg_before,rg_after,app_before,app_after,verdict_before,verdict_after
arm2noanch_s3002,d108,171,9,0,0,19,0.0,0.0,0.0,0.0,17.8,17.3,10,10,F1 no cavity,F1 no cavity
arm2noanch_s3002,d109,171,19,12,0,9,0.0,0.0,0.0,0.0,19.3,14.1,20,5,F1 no cavity,F1 no cavity
arm2noanch_s3002,d110,140,0,1,0,18,0.0,0.0,0.0,0.0,15.8,15.8,11,11,F1 no cavity,F1 no cavity
arm2noanch_s3002,d111,133,0,5,1,2,0.0,0.0,0.0,0.0,13.8,13.3,6,6,F1 no cavity,F1 no cavity
arm2noanch_s3002,d080,165,16,0,0,4,0.0,0.0,0.0,0.0,18.9,15.3,17,1,F1 no cavity,F1 no cavity
arm2noanch_s3002,d081,161,0,7,0,13,0.0,0.0,0.0,0.0,15.8,15.2,17,17,F1 no cavity,F1 no cavity
arm2noanch_s3002,d082,148,2,5,0,19,0.0,0.0,0.0,0.0,16.6,16.2,7,7,F1 no cavity,F1 no cavity
arm2noanch_s3002,d083,161,8,8,1,2,0.0,0.0,0.0,0.0,16.0,13.4,13,9,F1 no cavity,F1 no cavity
arm1slack_s3001,d168,171,15,36,0,11,65.0,75.0,737.2,737.2,23.0,14.2,20,5,F2 envelope,F2 envelope
arm1slack_s3001,d169,100,23,15,0,7,0.0,0.0,0.0,0.0,21.2,12.6,17,2,F1 no cavity,F1 no cavity
arm1slack_s3001,d170,226,11,7,0,30,0.0,0.0,0.0,0.0,21.8,21.4,26,26,F1 no cavity,F1 no cavity
arm1slack_s3001,d171,130,1,0,0,21,0.0,0.0,0.0,0.0,17.9,17.9,25,25,F1 no cavity,F1 no cavity
arm2noanch_s3002,d068,116,0,22,0,4,0.0,0.0,0.0,0.0,19.3,12.0,18,3,F1 no cavity,F1 no cavity
arm2noanch_s3002,d069,147,0,0,1,2,0.0,0.0,0.0,0.0,13.4,13.4,8,8,F1 no cavity,F1 no cavity
arm2noanch_s3002,d070,168,19,3,0,19,0.0,0.0,0.0,0.0,20.0,16.6,25,25,F1 no cavity,F1 no cavity
arm2noanch_s3002,d071,166,15,0,0,4,107.4,124.2,1277.0,1277.0,18.6,15.5,17,2,F4 appendage,PASS
arm2noanch_s3002,d096,163,13,0,0,15,0.0,0.0,0.0,0.0,18.2,16.6,8,7,F1 no cavity,F1 no cavity
arm2noanch_s3002,d097,163,16,2,0,13,0.0,0.0,0.0,0.0,18.4,15.3,10,3,F1 no cavity,F1 no cavity
arm2noanch_s3002,d098,170,0,10,0,22,0.0,0.0,0.0,0.0,18.5,17.7,10,10,F1 no cavity,F1 no cavity
arm2noanch_s3002,d099,165,17,8,1,3,0.0,0.0,0.0,0.0,18.1,13.6,10,6,F1 no cavity,F1 no cavity
arm3b3rasa_s3003,d036,213,52,0,1,3,0.0,0.0,0.0,0.0,21.4,14.7,7,1,F1 no cavity,F1 no cavity
arm3b3rasa_s3003,d037,210,46,15,0,7,0.0,0.0,0.0,0.0,23.7,14.3,6,2,F1 no cavity,F1 no cavity
arm3b3rasa_s3003,d038,195,54,0,1,2,94.2,134.4,1232.5,1082.8,23.2,14.7,11,1,F4 appendage,F2 envelope
arm3b3rasa_s3003,d039,201,42,7,0,6,0.0,0.0,0.0,0.0,22.4,14.4,10,5,F1 no cavity,F1 no cavity
arm2noanch_s3002,d020,163,13,5,0,6,57.2,91.4,1119.4,1271.9,17.6,14.8,16,3,F2 envelope,PASS
arm2noanch_s3002,d021,159,16,0,0,17,0.0,0.0,0.0,0.0,17.7,15.2,23,23,F1 no cavity,F1 no cavity
arm2noanch_s3002,d022,121,9,23,0,6,0.0,0.0,0.0,0.0,18.7,12.1,13,2,F1 no cavity,F1 no cavity
arm2noanch_s3002,d023,163,15,0,0,20,0.0,0.0,0.0,0.0,18.4,17.2,31,31,F1 no cavity,F1 no cavity
arm1slack_s3001,d248,211,0,0,0,28,0.0,0.0,0.0,0.0,21.4,21.4,31,31,F1 no cavity,F1 no cavity
arm1slack_s3001,d249,213,8,1,0,26,0.0,0.0,0.0,0.0,20.0,19.9,14,14,F1 no cavity,F1 no cavity
arm1slack_s3001,d250,179,0,0,0,18,0.0,0.0,0.0,0.0,17.7,17.7,26,26,F1 no cavity,F1 no cavity
arm1slack_s3001,d251,199,4,2,0,22,0.0,0.0,0.0,0.0,18.7,18.5,25,25,F1 no cavity,F1 no cavity
arm2noanch_s3002,d084,160,11,4,1,2,0.0,0.0,0.0,0.0,15.5,13.5,5,5,F1 no cavity,F1 no cavity
arm2noanch_s3002,d085,145,0,0,0,13,0.0,0.0,0.0,0.0,15.1,15.1,8,8,F1 no cavity,F1 no cavity
arm2noanch_s3002,d086,137,11,0,1,2,21.6,21.2,1020.2,1020.2,15.7,13.2,10,1,F2 envelope,F2 envelope
arm2noanch_s3002,d087,126,10,16,0,4,0.0,0.0,0.0,0.0,19.0,12.3,18,3,F1 no cavity,F1 no cavity
arm4rep_s3004,d024,106,2,0,1,3,0.0,0.0,0.0,0.0,13.3,13.2,2,2,F1 no cavity,F1 no cavity
arm4rep_s3004,d025,152,0,0,0,20,0.0,0.0,0.0,0.0,17.7,17.7,26,26,F1 no cavity,F1 no cavity
arm4rep_s3004,d026,147,1,22,0,13,0.0,0.0,0.0,0.0,19.7,16.9,18,10,F1 no cavity,F1 no cavity
arm4rep_s3004,d027,112,4,0,0,4,0.0,0.0,0.0,0.0,12.9,12.6,1,1,F1 no cavity,F1 no cavity
arm4rep_s3004,d092,190,0,6,0,10,0.0,0.0,0.0,0.0,17.2,16.9,9,8,F1 no cavity,F1 no cavity
arm4rep_s3004,d093,139,15,4,0,4,0.0,14.9,0.0,528.2,16.8,13.6,7,3,F1 no cavity,F2 envelope
arm4rep_s3004,d094,204,12,0,0,21,0.0,0.0,0.0,0.0,19.6,18.8,13,13,F1 no cavity,F1 no cavity
arm4rep_s3004,d095,151,0,0,1,2,110.6,110.6,1382.1,1382.1,15.2,15.2,1,1,PASS,PASS
arm4rep_s3004,d020,145,8,16,0,5,0.0,0.0,0.0,0.0,19.5,13.9,19,8,F1 no cavity,F1 no cavity
arm4rep_s3004,d021,199,8,0,0,13,20.7,20.1,317.0,317.0,17.3,16.6,9,9,F2 envelope,F2 envelope
arm4rep_s3004,d022,126,3,8,1,2,0.0,0.0,0.0,0.0,14.6,13.2,11,4,F1 no cavity,F1 no cavity
arm4rep_s3004,d023,171,0,0,0,11,153.6,153.6,1100.5,1100.5,17.3,17.3,1,1,F2 envelope,F2 envelope
arm4rep_s3004,d052,198,4,1,0,9,0.0,0.0,0.0,0.0,17.9,17.7,6,6,F1 no cavity,F1 no cavity
arm4rep_s3004,d053,167,0,1,0,19,0.0,0.0,0.0,0.0,17.3,17.3,7,7,F1 no cavity,F1 no cavity
arm4rep_s3004,d054,127,5,5,0,7,0.0,0.0,0.0,0.0,14.7,13.7,8,3,F1 no cavity,F1 no cavity
arm4rep_s3004,d055,129,24,4,0,8,0.0,0.0,0.0,0.0,18.5,14.1,7,6,F1 no cavity,F1 no cavity
arm2noanch_s3002,d100,133,16,7,0,16,0.0,0.0,0.0,0.0,18.6,14.3,19,12,F1 no cavity,F1 no cavity
arm2noanch_s3002,d101,168,18,8,0,5,0.0,0.0,0.0,0.0,17.8,13.9,16,16,F1 no cavity,F1 no cavity
arm2noanch_s3002,d102,116,10,13,1,2,0.0,0.0,0.0,0.0,17.5,11.2,14,1,F1 no cavity,F1 no cavity
arm2noanch_s3002,d103,158,21,0,1,2,97.6,107.8,1271.5,1271.5,20.8,14.2,15,2,F4 appendage,PASS
arm2noanch_s3002,d072,159,10,2,0,12,131.1,139.1,1117.4,1115.9,17.2,15.8,12,2,F2 envelope,F2 envelope
arm2noanch_s3002,d073,140,11,0,1,3,0.0,0.0,0.0,0.0,15.7,13.3,8,3,F1 no cavity,F1 no cavity
