name,hit,heavy_atoms,mw,length_A,npr1,npr2,asphericity,shape_class
"(-)-Fenchone",0,11,152.2,4.96,0.609,0.789,0.080,SPHERE
"(-)-Huperzine A (HupA)",0,18,242.3,8.33,0.435,0.927,0.203,DISC
"(-)-Menthol",0,11,156.3,6.77,0.306,0.801,0.345,ROD
"(-)-Parthenolide",0,18,248.3,7.32,0.441,0.747,0.197,DISC
"(-)-Sparteine Sulfate",0,17,234.4,7.90,0.289,0.934,0.375,ROD
"(-)-Verbenone",0,11,150.2,5.05,0.619,0.719,0.085,SPHERE
"(-)Amethopterin",0,33,454.4,15.45,0.160,0.884,0.595,ROD
"(-)Epicatechin",0,21,290.3,10.77,0.163,0.888,0.590,ROD
"(+-)-Alpha-Tocopherol",0,31,430.7,14.37,0.234,0.958,0.463,ROD
"(+,-)-Octopamine HCl",0,11,153.2,6.66,0.232,0.911,0.462,ROD
"(+)-(S)-Carvone",0,11,150.2,6.07,0.389,0.869,0.243,DISC
"(+)-Borneol",0,11,154.3,5.01,0.652,0.942,0.062,SPHERE
"(+)-Camphor",0,11,152.2,4.91,0.697,0.932,0.044,SPHERE
"(+)-Catechin",0,21,290.3,9.64,0.326,0.869,0.318,ROD
"(+)-Catechin hydrate",0,21,290.3,9.64,0.326,0.869,0.318,ROD
"(+)-Fangchinoline",0,45,608.7,12.07,0.567,0.732,0.109,SPHERE
"(+)-Longifolene",0,15,204.4,6.09,0.606,0.860,0.079,SPHERE
"(+)-Matrine",0,18,248.4,7.16,0.362,0.711,0.285,DISC
"(+)-α-Lipoic acid",0,12,206.3,6.82,0.272,0.913,0.397,ROD
"(+)Naproxen",0,17,230.3,9.89,0.144,0.947,0.631,ROD
"(+/-)-Sulfinpyrazone",0,29,404.5,10.03,0.394,0.872,0.239,DISC
"(1R)-(-)-Menthyl acetate",0,14,198.3,6.79,0.502,0.611,0.184,DISC
"(1S)-(-)-��-Pinene",0,10,136.2,5.04,0.541,0.901,0.118,DISC
"(R)-(-)-Ibuprofen",0,15,206.3,9.45,0.136,0.999,0.655,ROD
"(R)-(-)-Mandelic acid",0,11,152.1,6.29,0.261,0.878,0.411,ROD
"(R)-(+)-Atenolol HCl",0,19,266.3,9.83,0.259,0.859,0.414,ROD
"(R)-baclofen",0,14,213.7,8.14,0.238,0.875,0.448,ROD
"(R)-Serine",0,7,105.1,4.30,0.407,0.630,0.260,DISC
"(S)-(-)-Perillyl Alcohol",0,11,152.2,7.06,0.245,0.946,0.443,ROD
"(S)-(+)-Camptothecin",0,26,348.4,12.04,0.178,0.872,0.558,ROD
"(S)-(���)-Limonene",0,10,136.2,6.79,0.179,0.881,0.556,ROD
"(S)-10-Hydroxycamptothecin",0,27,364.4,13.21,0.161,0.882,0.594,ROD
"(S)-crizotinib",0,30,450.3,10.01,0.427,0.748,0.210,DISC
"(S)-Enba",0,26,361.4,11.86,0.159,0.916,0.598,ROD
"(S)-Glutamic acid",0,10,147.1,5.90,0.343,0.836,0.295,ROD
"(��)-Equol",0,18,242.3,9.51,0.238,0.938,0.454,ROD
"(��)-��-Bisabolol",0,16,222.4,7.82,0.375,0.806,0.258,DISC
"(��)-��-Tocopherol",0,31,430.7,14.37,0.234,0.958,0.463,ROD
"(���)-Norepinephrine",0,12,169.2,6.85,0.239,0.805,0.449,ROD
"(���)-��-Pinene",0,10,136.2,4.81,0.559,0.875,0.105,SPHERE
"1-(2-Hydroxy-Phenyl)-3-Phenyl-Propenone",0,17,226.3,7.43,0.356,0.813,0.280,DISC
"1-Aminobenzotriazole",0,10,134.1,5.19,0.313,0.687,0.355,DISC
"1-Hexadecanol",0,17,242.4,12.05,0.190,0.880,0.535,ROD
"1-Hydroxybenzotriazole",0,10,135.1,5.18,0.306,0.694,0.363,DISC
"1-Indanone",0,10,132.2,5.07,0.319,0.681,0.348,DISC
"1-Phenyl-3-(2-Thiazolyl)-2-Thiourea",0,15,235.3,6.76,0.467,0.663,0.192,DISC
"1, 10-Phenanthroline monohydrate",0,14,180.2,6.98,0.252,0.748,0.435,ROD
"1,2-Propanediol",0,5,76.1,3.68,0.264,0.768,0.412,ROD
"1,2,4-Triazole",0,5,69.1,2.28,0.441,0.559,0.261,DISC
"1,3,5-Tris(4-Hydroxyphenyl)-4-Propyl-1H-Pyrazole",0,29,386.5,13.08,0.346,0.715,0.304,ROD
"1,4-Cineole",0,11,154.3,5.38,0.395,0.937,0.244,DISC
"1,5-Dihydroxyanthraquinone",0,18,240.2,7.56,0.305,0.695,0.364,DISC
