name,hit,heavy_atoms,mw,length_A
"2',3',4'-Trihydroxyacetophenone",0,12,168.1,6.5515025065524295
"2',4'-Dihydroxyacetophenone",0,11,152.1,6.550306273584298
"2',4',6'-Trihydroxyacetophenone Monohydrate",0,12,168.1,6.47435481092161
"2���-deoxyuridine",0,16,228.2,8.357289813994132
"3-Amino-1,2,4-Triazole",0,6,84.1,3.3695318611148677
"3-Bromo-7-Nitroindazole",0,13,242.0,7.6317658117495135
"3-Deoxo-3Beta-Acetoxydeoxydihydrogedunin",0,37,512.6,12.707847825069472
"3-Hydroxybenzoic acid",0,10,138.1,6.034536808429084
"3-Hydroxybenzoic Acid",0,10,138.1,6.034536808429084
"3-Phenoxybenzoic acid",0,16,214.2,8.139999805031623
"3,4-Diaminopyridine",0,8,109.1,4.220623137136406
"3,4-Dihydroxybenzoic Acid",0,11,154.1,6.390216862480831
"3,5-Dihydroxybenzoic Acid",0,11,154.1,6.032293879464382
"3,7-Dimethoxyflavone",0,21,282.3,9.586398911680206
"3'-Fluoro-3'-deoxythymidine (Alovudine)",0,17,244.2,8.252779769001307
"3'-Hydroxyacetophenone",0,10,136.1,6.1932592073710735
"3Alpha-Acetoxydihydrodeoxygedunin",0,37,512.6,13.877940188849168
"3Beta-Hydroxydeoxodihydrodeoxygedunin",0,36,502.6,12.470985155818353
"3Beta-Hydroxydeoxodihydrogedunin",0,28,380.4,11.150159084518455
"4-(Aminomethyl)Benzoic Acid",0,11,151.2,7.199885070074931
"4-Acetoxyphenol",0,11,152.1,7.735452973335757
"4-Allylanisole",0,11,148.2,8.012336971105563
"4-Aminoantipyrine",0,15,203.2,7.614148464439137
"4-Aminobenzoic acid",0,10,137.1,6.457904319770291
"4-Aminobutyric acid",0,7,103.1,5.275737434905249
"4-Aminohippuric Acid",0,14,194.2,9.962662827258674
"4-Aminosalicylic acid",0,11,153.1,6.439869925283398
"4-Biphenylacetic acid",0,16,212.2,9.798086257632347
"4-Chloromercuribenzoic Acid",0,11,357.2,9.50801829857846
"4-Hydroxybenzoic acid",0,10,138.1,6.405094614962324
"4-Hydroxybenzoic Acid",0,10,138.1,6.405094614962324
"4-Methylbenzylidene camphor",0,19,254.4,10.242169871306425
"4-Methylesculetin",0,14,192.2,7.61010656106442
"4-Methylumbelliferone (4-MU)",0,13,176.2,7.068427840881396
"4'-Bromoacetophenone",0,10,199.0,7.067231716855097
"4'-Hydroxyacetophenone",0,10,136.1,6.532386150203961
"5-(N-Methyl-N-Isobutyl)Amiloride",0,20,299.8,9.652677572639853
"5-(N,N-Hexamethylene)Amiloride",0,21,311.8,11.163935049076022
"5-Aminolevulinic acid HCl",0,9,131.1,6.285810467953152
"5-Bromo-2'-Deoxyuridine",0,17,307.1,8.292478607981892
"5-Fluoro-2'-Deoxyuridine",0,17,246.2,9.54796318218814
"5-Fluororotic Acid (5-Foa)",0,12,174.1,5.914741079424583
"5-hydroxymethyl Tolterodine (PNU 200577, 5-HMT, 5-HM)",0,25,341.5,9.250384106372202
"5-Hydroxymethylfurfural",0,9,126.1,6.297074775260193
"5-hydroxytryptophan (5-HTP)",0,16,220.2,8.17175305538081
"5-Methoxytryptamine",0,14,190.2,6.4856537598513935
"5,5-Dimethyl Oxazolidine 2,4-Dione",0,9,129.1,4.505767665554453
"5,5-Dimethyloxazolidine-2,4-dione",0,9,129.1,4.505767665554453
"5,5'-Methylenebis(2-Hydroxy-4-Methoxy-Benzophenone)",0,38,530.7,13.059655162361851
"5,7-Dihydroxy-4-methylcoumarin",0,14,192.2,7.0069159995707535
"6-Acetamidohexanoic acid",0,12,173.2,5.677718210581491
"6-Aminonicotinamide",0,10,137.1,6.361736507997815
"6-Aminopenicillanic acid",0,14,216.3,6.596287141452831
"6-Mercaptopurine (6-MP) Monohydrate",0,10,152.2,5.004740832487425
"6-Methoxy-2-naphthoic acid",0,15,202.2,9.302267264790428
"7-Aminocephalosporanic acid",0,18,272.3,8.676330893386824
"7-Cyclopentyl-5-(4-Phenoxy)Phenyl-7H-Pyrrolo[2,3-D]Pyrimidin-4-Ylamine",0,28,370.5,12.546529194022398
"7-Methoxycoumarin",0,13,176.2,7.321146492131911
"7-Nitroindazole",0,12,163.1,5.830173717873448
"8-Hydroxyquinoline",0,11,145.2,5.021816359100039
"8-Quinolinol",0,11,145.2,5.021816359100039
"9-Aminoacridine",0,15,194.2,7.39487568781167
"Abacavir",0,21,286.3,11.16533117252828
"Abacavir sulfate",0,21,286.3,11.16533117252828
"Abametapir",0,14,184.2,10.023172257537327
"Abemaciclib",0,37,506.6,13.624552321165528
"abemaciclib (LY2835219)",0,37,506.6,13.624552321165528
"Abiraterone Acetate",0,29,391.6,14.178671999418922
"Abscisic Acid (Dormin���",0,19,264.3,8.585636565844073
"ABT-492(Delafloxacin, RX-3341, WQ-3034)",0,30,440.8,11.548824945449914
"Ac 915 Oxalate",0,19,302.2,12.702453501222916
"Acalabrutinib (ACP-196)",0,35,465.5,14.902436316079374
"Acamprosate Calcium",0,11,181.2,6.707235751369054
"Acarbose",0,44,645.6,13.376481607254938
"ACC",0,7,101.1,3.6268837511948533
"ACC Hydrochloride",0,7,101.1,3.6268837511948533
"Acebutolol HCl",0,24,336.4,12.102878891210802
