#Frame            sb1          sb2
     419       4.0602       2.8962
     420       4.2820       2.6609
     421       4.3310       2.6993
     422       4.2166       2.7191
     423       4.7502       3.0213
     424       4.2476       2.7396
     425       4.5371       2.7044
     426       4.4062       2.7736
     427       4.1640       2.7140
     428       4.5069       2.8020
     429       4.5285       2.9488
     430       4.2808       2.6426
     431       4.8619       2.8805
     432       4.4106       2.8220
     433       4.2560       2.7564
     434       3.9532       2.6637
     435       4.1083       2.6753
     436       4.5479       2.7346
     437       4.2061       2.8393
     438       4.3352       2.8458
     439       4.4085       2.7608
     440       4.1572       2.6934
     441       4.2859       2.9220
     442       3.7792       2.6137
     443       4.4539       2.6883
     444       4.3222       2.6070
     445       4.1067       2.8485
     446       4.2540       2.6708
     447       4.4580       2.8170
     448       5.0302       3.5635
     449       4.4263       2.8157
     450       4.4659       2.7770
     451       4.4210       2.7306
     452       4.5431       2.7537
     453       4.1836       2.6959
     454       4.2657       2.7566
     455       4.1329       2.7801
     456       3.8335       2.7750
     457       4.3354       2.8386
     458       4.4592       2.8158
     459       4.0822       2.6239
     460       4.2845       2.7180
     461       3.7275       2.7807
     462       4.2802       2.6605
     463       3.6895       2.8165
     464       4.3956       2.8296
     465       4.3678       2.7662
     466       4.3825       3.0120
     467       3.9866       2.7126
     468       4.0185       2.8490
     469       4.1405       2.7488
     470       4.3922       2.7957
     471       4.2114       2.7171
     472       3.7060       2.7313
     473       4.2449       2.7038
     474       3.7920       2.7279
     475       3.8870       2.6454
     476       3.4894       2.6862
     477       4.2436       2.8086
     478       3.9929       2.6347
     479       4.2105       2.6885
     480       3.8060       2.7885
     481       4.3320       2.6743
     482       4.3741       2.9091
     483       4.2132       2.7117
     484       3.9611       2.8920
     485       4.3574       2.7611
     486       4.3602       2.6815
     487       4.1872       2.6151
     488       4.3390       2.6159
     489       4.1375       2.6314
     490       4.2005       2.6551
     491       4.3667       2.7213
     492       3.9275       2.8096
     493       4.1734       2.8560
     494       4.3113       2.7045
     495       4.2679       2.7079
     496       4.4243       2.6795
     497       3.8857       2.7322
     498       3.9764       2.6918
     499       4.3986       2.7216
     500       4.0284       2.7614
     501       4.2162       2.7403
     502       4.7173       2.9029
     503       4.1007       2.6369
     504       4.3313       2.7092
     505       4.3004       2.7299
     506       4.2277       2.8092
     507       4.0131       2.7545
     508       3.6208       2.6054
     509       4.4859       2.7963
     510       4.5960       2.8640
     511       3.9945       2.8460
     512       4.0250       2.6782
     513       4.1782       2.7316
     514       4.5436       2.9701
     515       4.4455       2.7739
     516       4.3180       2.6414
     517       3.6879       2.7656
     518       3.7686       2.6361
     519       3.5909       2.6934
     520       3.7910       2.6881
     521       3.8442       2.6782
     522       3.4846       2.8226
     523       4.0594       2.9165
     524       3.4335       2.7046
     525       3.8914       2.7028
     526       4.0975       2.8327
     527       4.2619       2.6894
     528       3.7316       2.7725
     529       4.1949       2.7208
     530       3.9707       2.7141
     531       3.5836       2.8212
     532       4.1799       2.8008
     533       4.2172       2.8708
     534       4.2168       2.8567
     535       4.0287       2.8138
     536       4.4502       2.6198
     537       3.8251       2.6394
     538       3.7709       2.7183
     539       4.1552       2.5642
     540       3.8616       2.6691
     541       4.0665       2.7744
     542       3.7806       2.6975
     543       3.9547       2.7866
     544       4.3531       2.9418
     545       4.3474       2.8288
     546       4.1867       2.6584
     547       4.3585       2.8365
     548       3.8124       2.6864
     549       3.6798       2.5998
     550       4.2908       2.6501
     551       3.8574       2.7789
     552       4.0438       2.8338
     553       4.5760       2.8863
     554       4.2339       2.7914
     555       4.3145       2.9072
     556       3.9653       2.7882
     557       4.3810       2.7442
     558       4.1336       2.7336
     559       4.3277       2.7857
     560       3.8848       2.7559
     561       4.2422       2.6755
     562       4.0263       2.7589
     563       4.1161       2.7320
     564       4.0063       2.8625
     565       4.0583       2.6816
     566       4.0475       2.7604
     567       3.8890       2.8330
     568       4.0270       2.6517
     569       4.2374       3.3379
     570       3.9554       2.7906
     571       4.3056       2.7154
     572       3.2869       2.7639
     573       3.5842       2.6203
     574       3.7235       2.8367
     575       3.7024       2.7983
     576       3.4102       2.7817
     577       3.9205       2.7516
     578       3.8386       2.6816
     579       3.6471       2.7788
     580       3.7114       2.7741
     581       3.5426       2.6770
     582       3.8589       2.9190
     583       3.9111       2.7254
     584       3.7359       2.7078
     585       3.7855       2.9456
     586       3.6285       2.8254
     587       3.9458       2.7806
     588       4.0150       3.0026
     589       4.2497       2.7486
     590       3.9387       2.5697
     591       3.7845       2.7838
     592       3.8132       2.8788
     593       3.9038       2.7283
     594       4.1315       2.8719
     595       3.5227       2.7190
     596       3.8571       2.6848
     597       4.3389       2.7072
     598       4.1194       2.7305
     599       4.0165       2.7189
     600       4.1279       2.6904
     601       4.3943       2.7922
     602       4.0892       2.7643
     603       4.1520       2.6540
     604       4.0590       2.7091
     605       3.8305       2.6723
     606       4.2653       2.7057
     607       4.1325       2.9441
     608       4.1325       2.6901
     609       3.9482       2.7926
     610       4.2230       2.7270
     611       3.6321       2.6787
     612       4.3322       2.7943
     613       4.5051       2.6957
     614       4.0947       2.9443
     615       3.3727       2.6960
     616       3.8208       2.9067
     617       3.9467       2.6468
     618       3.8498       2.8230
     619       4.2624       2.6910
     620       4.3217       2.8416
     621       3.9403       2.7816
     622       4.8780       2.9583
     623       4.4591       3.0084
     624       4.4029       3.1227
     625       4.1881       2.7128
     626       4.1958       2.5102
     627       4.1913       3.0195
     628       4.3190       2.7454
     629       4.2175       2.7737
     630       3.9996       2.7937
     631       4.3062       2.8010
     632       4.1507       2.6903
     633       5.1378       3.5898
     634       3.9786       2.6697
     635       3.8320       2.7895
     636       4.4009       2.7794
     637       4.1052       2.8098
     638       3.9895       2.7662
     639       3.9026       2.9354
     640       3.9145       2.6312
     641       4.0151       2.9746
     642       3.8699       2.8370
     643       4.3380       2.7327
